g 1024
e 25 909 18
e 553 909 2
e 377 909 -10
e 191 909 1
e 439 909 -10
e 133 909 17
e 785 909 10
e 73 909 -5
e 624 909 9
e 224 909 13
e 238 909 -1
e 713 909 9
e 661 909 11
e 781 909 4
e 617 909 -1
e 873 909 9
e 937 909 -4
e 431 909 -3
e 297 910 7
e 140 910 -9
e 584 910 15
e 937 910 -4
e 102 910 4
e 689 910 13
e 152 910 2
e 394 910 -9
e 262 910 18
e 955 910 -5
e 671 910 -7
e 967 910 19
e 779 910 -9
e 186 910 15
e 737 910 16
e 513 910 15
e 27 910 3
e 382 910 8
e 199 910 1
e 988 910 -4
e 511 910 -10
e 800 910 7
e 794 910 6
e 897 910 -7
e 292 910 6
e 634 910 9
e 652 910 -4
e 29 910 -6
e 797 910 12
e 682 910 2
e 47 910 9
e 96 910 15
e 287 910 -10
e 915 910 2
e 1020 910 3
e 255 910 13
e 643 910 18
e 92 910 -6
e 846 910 4
e 819 910 -2
e 840 910 -7
e 495 910 -3
e 868 910 20
e 823 910 -10
e 655 910 16
e 379 910 -4
e 995 910 11
e 717 910 5
e 285 910 7
e 755 910 6
e 337 910 -5
e 954 910 -5
e 988 910 0
e 909 910 12
e 923 910 0
e 581 910 -3
e 602 910 16
e 67 910 17
e 143 910 16
e 956 910 14
e 329 910 -9
e 85 910 11
e 611 910 19
e 240 910 -7
e 253 910 -1
e 965 910 2
e 556 910 1
e 180 910 16
e 1009 910 5
e 473 910 -8
e 616 910 17
e 610 910 11
e 322 910 -5
e 925 910 11
e 373 910 17
e 85 910 16
e 818 910 -5
e 607 910 16
e 24 910 -7
e 624 910 12
e 423 910 15
e 562 910 20
e 1015 910 1
e 150 910 19
e 170 910 13
e 107 910 -2
e 543 910 9
e 304 910 -6
e 744 910 11
e 550 910 -2
e 383 910 16
e 938 910 -3
e 272 911 10
e 847 911 5
e 449 911 11
e 542 911 6
e 297 911 -9
e 303 911 10
e 333 911 2
e 71 911 8
e 689 911 -3
e 949 911 20
e 192 911 -10
e 984 911 -6
e 366 911 12
e 483 911 9
e 28 911 -10
e 477 911 20
e 956 911 -5
e 492 911 2
e 53 911 -8
e 722 911 6
e 777 911 17
e 440 911 9
e 821 911 5
e 811 911 -10
e 89 911 18
e 488 912 11
e 384 912 -9
e 527 912 -5
e 356 912 -10
e 155 912 11
e 294 912 1
e 801 912 5
e 817 912 -7
e 134 912 15
e 946 912 1
e 370 912 15
e 167 912 5
e 258 912 3
e 56 912 9
e 445 912 10
e 331 912 -7
e 714 912 -4
e 595 912 -8
e 352 912 -8
e 616 912 2
e 637 912 3
e 157 912 20
e 219 912 8
e 398 912 17
e 800 912 13
e 824 912 -1
e 596 912 -2
e 782 912 9
e 153 912 -10
e 585 912 11
e 22 912 7
e 127 912 18
e 565 912 -3
e 119 912 4
e 782 912 19
e 828 912 18
e 291 912 6
e 368 912 11
e 333 912 -9
e 739 912 18
e 758 912 5
e 100 912 1
e 137 912 -6
e 983 912 17
e 39 912 1
e 648 912 17
e 156 912 18
e 447 912 -6
e 657 912 7
e 405 912 -1
e 514 912 -5
e 517 912 -4
e 1011 912 -6
e 582 912 -4
e 95 912 8
e 600 912 5
e 114 912 10
e 734 912 -6
e 248 912 19
e 811 912 10
e 276 912 15
e 415 912 14
e 309 912 -7
e 564 912 3
e 582 912 6
e 852 912 8
e 293 912 -4
e 238 912 -2
e 599 912 17
e 456 912 -8
e 506 912 -4
e 791 912 1
e 1018 912 3
e 944 913 7
e 1002 913 12
e 899 913 14
e 62 913 -4
e 177 913 3
e 974 913 -2
e 519 913 -8
e 96 913 -7
e 286 913 0
e 771 913 10
e 806 913 10
e 756 913 6
e 737 913 17
e 962 913 12
e 1010 913 1
e 689 913 4
e 856 913 11
e 860 913 -9
e 310 913 15
e 927 913 2
e 981 913 13
e 692 913 -4
e 1003 913 2
e 924 913 -3
e 542 913 7
e 705 913 5
e 452 913 -10
e 729 913 -1
e 237 913 16
e 269 913 -2
e 419 913 -1
e 91 913 10
e 112 913 13
e 57 913 16
e 33 913 1
e 635 913 -2
e 714 913 -8
e 118 913 -1
e 10 913 11
e 870 913 8
e 144 913 8
e 13 913 5
e 734 913 14
e 413 913 14
e 333 913 1
e 984 913 -4
e 338 913 5
e 118 913 18
e 1023 913 5
e 967 913 -3
e 973 913 16
e 153 913 -6
e 920 913 17
e 860 913 18
e 747 913 7
e 132 913 1
e 894 913 14
e 559 913 8
e 1021 913 -2
e 264 913 0
e 11 913 -9
e 107 913 -5
e 391 913 -5
e 458 913 19
e 782 913 -10
e 847 913 16
e 961 913 7
e 450 913 3
e 72 913 15
e 430 913 20
e 279 913 11
e 959 913 14
e 495 913 15
e 111 913 -4
e 680 913 8
e 737 913 1
e 303 913 11
e 781 913 0
e 203 913 -4
e 798 913 5
e 676 913 5
e 24 913 15
e 901 913 1
e 446 913 5
e 737 913 19
e 435 913 17
e 788 913 -3
e 479 913 -7
e 748 913 8
e 532 913 -4
e 104 913 7
e 242 913 -3
e 191 913 6
e 8 913 3
e 769 914 -3
e 972 914 11
e 631 914 -2
e 703 914 16
e 22 914 11
e 501 914 8
e 952 914 -3
e 70 914 13
e 24 914 -4
e 91 914 0
e 65 914 8
e 447 914 6
e 326 914 8
e 57 914 4
e 52 914 -2
e 346 914 6
e 69 914 2
e 82 914 7
e 342 914 7
e 8 914 5
e 667 914 -4
e 495 915 -9
e 1017 915 8
e 166 915 -10
e 494 915 16
e 167 915 9
e 177 915 15
e 836 915 -9
e 215 915 -2
e 840 915 5
e 548 915 8
e 571 915 2
e 753 915 4
e 737 915 -4
e 720 915 12
e 260 915 2
e 115 915 7
e 627 915 3
e 714 915 18
e 331 915 13
e 364 915 19
e 885 915 -6
e 56 915 -10
e 880 915 -3
e 572 915 2
e 593 915 0
e 982 915 14
e 776 915 11
e 24 915 2
e 740 915 0
e 369 915 5
e 858 915 1
e 394 915 -5
e 258 915 12
e 111 915 -8
e 994 915 -9
e 751 915 0
e 239 915 19
e 69 915 8
e 209 915 2
e 760 915 -1
e 999 915 9
e 255 915 17
e 907 915 10
e 809 915 -8
e 151 915 -6
e 956 915 5
e 807 915 -6
e 92 915 19
e 929 915 0
e 815 915 -5
e 243 915 -9
e 831 915 5
e 28 915 4
e 32 915 -4
e 238 915 1
e 210 915 6
e 18 915 19
e 488 915 0
e 588 915 17
e 746 915 6
e 256 915 10
e 761 915 -10
e 1014 915 1
e 177 915 5
e 90 915 20
e 340 915 16
e 263 915 14
e 804 915 16
e 5 915 -3
e 784 915 -10
e 335 915 12
e 403 915 12
e 730 915 -8
e 730 915 19
e 468 915 14
e 549 915 9
e 297 915 -7
e 111 915 19
e 332 915 7
e 593 915 1
e 308 915 8
e 292 915 -5
e 165 915 -8
e 870 915 18
e 944 915 -4
e 94 915 9
e 133 916 13
e 757 916 1
e 27 917 -7
e 170 917 7
e 928 917 4
e 538 917 -7
e 359 917 11
e 691 917 19
e 260 917 -3
e 56 917 2
e 232 917 17
e 85 917 3
e 204 917 -4
e 551 917 8
e 851 917 -4
e 255 917 10
e 746 917 0
e 99 917 6
e 499 917 15
e 342 917 -9
e 548 917 -9
e 218 917 2
e 809 917 -3
e 946 917 6
e 145 917 15
e 876 917 19
e 743 917 -6
e 159 917 -3
e 31 917 -2
e 626 917 14
e 821 917 5
e 861 917 -1
e 784 917 -6
e 820 917 18
e 172 917 6
e 609 917 -8
e 120 917 2
e 624 917 -5
e 765 917 -10
e 978 917 -6
e 193 917 12
e 218 917 -8
e 363 917 12
e 524 917 7
e 551 917 11
e 919 917 9
e 844 917 12
e 32 917 2
e 317 917 5
e 193 917 -4
e 141 917 -4
e 594 917 -6
e 358 917 11
e 999 917 13
e 555 917 -9
e 665 917 -1
e 348 917 12
e 650 917 15
e 698 917 15
e 291 917 0
e 940 917 -8
e 160 917 -8
e 738 917 11
e 207 917 3
e 824 917 -2
e 435 918 -4
e 638 918 3
e 900 918 -2
e 600 918 12
e 678 918 8
e 962 918 3
e 864 918 19
e 861 918 2
e 643 918 6
e 620 919 -4
e 374 919 -8
e 148 919 3
e 317 919 9
e 754 919 8
e 714 919 -6
e 53 919 14
e 229 919 -4
e 263 919 -4
e 555 919 7
e 657 919 0
e 948 919 10
e 578 919 8
e 754 919 -7
e 716 919 18
e 732 919 6
e 624 919 11
e 76 919 1
e 636 919 1
e 422 919 4
e 18 919 19
e 443 919 19
e 554 919 -1
e 493 919 -4
e 218 919 -4
e 915 919 5
e 470 919 7
e 159 919 17
e 563 919 15
e 894 919 -8
e 368 919 16
e 575 919 -2
e 438 919 -9
e 248 919 11
e 351 919 11
e 869 919 6
e 438 919 1
e 467 919 6
e 765 919 2
e 316 919 6
e 437 919 -9
e 778 920 10
e 358 920 9
e 207 920 20
e 967 920 -4
e 320 920 5
e 987 920 -3
e 1009 920 20
e 759 920 11
e 774 920 8
e 900 920 3
e 72 920 2
e 687 920 -10
e 120 920 20
e 609 920 11
e 227 920 12
e 882 920 10
e 822 920 10
e 26 920 5
e 916 920 1
e 680 920 3
e 230 920 19
e 784 921 6
e 41 921 -8
e 749 921 -2
e 567 921 5
e 5 921 4
e 170 921 1
e 151 921 7
e 347 921 12
e 979 921 -4
e 156 921 15
e 320 921 -10
e 958 921 17
e 859 921 1
e 215 921 4
e 385 921 10
e 961 921 8
e 270 921 3
e 102 921 -6
e 455 921 -6
e 571 921 -7
e 373 921 13
e 267 921 6
e 723 921 15
e 758 921 8
e 938 921 5
e 953 921 19
e 571 921 -8
e 304 921 15
e 477 921 -6
e 281 921 8
e 743 921 4
e 26 921 11
e 464 921 9
e 518 921 18
e 405 921 -6
e 860 921 3
e 347 921 -10
e 16 921 14
e 342 921 6
e 910 921 -9
e 745 921 18
e 509 921 -2
e 15 921 19
e 704 921 14
e 505 921 1
e 67 921 -7
e 761 921 -1
e 244 921 -2
e 926 921 10
e 399 921 3
e 801 921 -5
e 159 921 13
e 767 921 1
e 834 921 17
e 488 921 12
e 812 921 7
e 472 921 -3
e 494 921 2
e 388 921 -9
e 376 921 14
e 247 921 17
e 477 921 6
e 381 921 -3
e 87 921 17
e 192 921 8
e 907 921 10
e 817 921 -7
e 270 921 9
e 425 921 -2
e 39 921 -2
e 592 921 2
e 277 922 -8
e 197 922 1
e 677 922 20
e 549 922 5
e 460 922 9
e 144 922 18
e 740 922 0
e 331 922 6
e 112 922 16
e 789 922 3
e 82 922 8
e 255 922 -4
e 319 922 1
e 894 922 19
e 111 922 6
e 959 922 -1
e 921 922 20
e 314 922 1
e 798 922 16
e 394 922 8
e 133 922 -10
e 636 922 12
e 295 922 13
e 614 922 13
e 299 922 3
e 698 922 -7
e 693 922 -3
e 218 922 2
e 347 922 14
e 302 922 -3
e 473 922 12
e 117 922 -8
e 915 923 6
e 297 923 6
e 887 923 14
e 733 923 -6
e 12 923 12
e 159 923 8
e 394 923 -4
e 521 923 2
e 748 923 -10
e 381 923 10
e 590 923 13
e 942 923 5
e 154 923 -6
e 98 923 -8
e 222 924 19
e 65 924 9
e 583 924 -1
e 192 924 -7
e 509 924 16
e 99 924 8
e 947 924 18
e 394 924 13
e 738 924 2
e 670 924 -2
e 353 924 10
e 326 924 14
e 53 924 -8
e 478 924 18
e 682 924 -5
e 805 924 0
e 931 924 11
e 565 924 4
e 302 924 12
e 697 924 11
e 603 924 3
e 858 924 -8
e 847 924 12
e 634 924 -9
e 916 924 1
e 805 924 13
e 691 924 1
e 580 924 5
e 773 924 14
e 20 924 -6
e 710 924 12
e 471 924 -6
e 875 924 20
e 970 924 -4
e 821 924 -8
e 854 924 -7
e 263 924 12
e 394 924 8
e 629 924 9
e 457 924 -6
e 29 924 0
e 192 924 3
e 58 924 -10
e 923 924 15
e 886 924 4
e 889 924 13
e 0 924 -6
e 285 924 -3
e 735 924 3
e 230 924 15
e 902 924 -5
e 769 924 7
e 424 924 -5
e 989 924 11
e 333 924 1
e 223 924 -9
e 294 924 15
e 344 924 11
e 797 924 5
e 948 924 15
e 817 924 20
e 756 924 3
e 129 924 18
e 94 924 -10
e 166 924 6
e 370 924 0
e 326 924 -7
e 545 924 18
e 998 924 -5
e 826 924 -8
e 0 924 -9
e 293 924 2
e 854 924 0
e 723 924 -3
e 133 924 -4
e 245 924 -6
e 989 924 -5
e 364 924 19
e 624 924 15
e 769 924 4
e 873 924 12
e 343 924 -9
e 928 924 3
e 285 924 12
e 875 924 19
e 136 924 11
e 694 924 -3
e 1 924 6
e 854 924 -4
e 795 924 16
e 410 924 16
e 455 924 -5
e 803 924 13
e 459 924 1
e 1014 924 -5
e 112 924 -4
e 464 924 -1
e 123 924 -1
e 442 924 -6
e 95 924 -5
e 764 925 -7
e 838 925 -2
e 232 925 14
e 306 925 10
e 151 925 6
e 242 925 -3
e 721 925 -10
e 571 925 12
e 656 925 -9
e 620 925 2
e 958 925 18
e 366 925 20
e 831 925 1
e 478 925 8
e 50 925 16
e 110 925 5
e 628 925 -2
e 648 925 9
e 614 925 14
e 53 925 0
e 497 925 15
e 318 925 18
e 711 925 -8
e 401 925 11
e 491 925 9
e 229 925 5
e 115 925 4
e 417 925 13
e 397 925 1
e 762 925 -2
e 448 925 18
e 604 925 -8
e 884 925 3
e 12 925 -5
e 181 925 -9
e 779 925 12
e 564 925 5
e 61 925 3
e 910 925 -9
e 202 925 13
e 209 925 3
e 965 925 -1
e 317 925 -1
e 780 925 13
e 839 925 -4
e 879 925 2
e 484 925 18
e 20 925 9
e 771 925 -6
e 281 925 6
e 859 925 -1
e 380 925 -4
e 872 925 15
e 56 925 15
e 432 925 17
e 177 925 -4
e 587 925 11
e 272 926 9
e 570 926 -7
e 238 926 15
e 942 926 18
e 711 926 -3
e 57 926 20
e 11 926 4
e 1017 926 -7
e 481 926 8
e 608 926 16
e 374 926 8
e 301 926 4
e 661 926 13
e 923 926 2
e 121 926 -5
e 472 926 14
e 223 926 14
e 184 926 -9
e 351 926 18
e 427 926 -7
e 763 926 5
e 749 926 0
e 1017 926 0
e 1020 926 4
e 1006 926 12
e 591 926 -9
e 540 926 -4
e 581 926 -2
e 509 926 19
e 92 926 18
e 544 926 20
e 675 926 1
e 308 926 1
e 626 926 19
e 355 926 2
e 600 926 4
e 481 926 5
e 85 926 -4
e 708 926 -3
e 589 927 17
e 177 927 11
e 63 927 15
e 253 927 12
e 225 927 8
e 388 927 10
e 66 927 3
e 124 927 9
e 222 927 14
e 974 927 4
e 121 927 9
e 279 927 13
e 78 927 1
e 754 927 1
e 105 927 9
e 889 927 -10
e 594 927 0
e 9 927 1
e 747 927 6
e 582 927 -10
e 923 927 5
e 607 927 14
e 684 927 -7
e 660 927 6
e 754 927 9
e 1013 927 -2
e 686 927 -8
e 108 927 13
e 433 927 6
e 509 927 13
e 709 927 -9
e 845 927 -9
e 72 927 -7
e 353 927 10
e 26 927 17
e 681 927 8
e 698 927 -9
e 829 927 -10
e 427 927 -5
e 614 927 -4
e 285 927 20
e 352 927 -8
e 201 927 18
e 862 927 -1
e 29 927 2
e 719 927 11
e 409 927 15
e 992 927 20
e 377 927 -8
e 66 927 20
e 916 927 4
e 45 927 0
e 132 927 -2
e 165 927 -7
e 519 927 -7
e 764 927 6
e 677 927 2
e 408 927 -5
e 147 927 10
e 502 927 5
e 984 927 1
e 1007 927 -2
e 942 927 19
e 570 927 4
e 811 927 11
e 51 927 8
e 647 928 -9
e 1017 928 5
e 682 928 4
e 615 928 1
e 108 928 16
e 606 928 -7
e 569 928 14
e 702 928 -1
e 20 928 -9
e 705 928 4
e 811 928 0
e 562 928 14
e 943 928 20
e 474 928 12
e 226 928 17
e 60 928 -6
e 882 928 -10
e 642 928 18
e 517 928 -10
e 438 928 10
e 21 928 -7
e 53 928 -5
e 766 928 6
e 865 928 -10
e 341 928 0
e 407 928 -6
e 124 928 12
e 97 928 -6
e 115 928 8
e 748 928 2
e 497 928 19
e 188 928 18
e 692 928 7
e 158 928 -6
e 21 928 3
e 990 928 -10
e 991 928 7
e 443 928 19
e 865 928 12
e 792 928 -6
e 194 928 9
e 628 928 9
e 661 928 20
e 28 928 0
e 429 928 17
e 671 928 -5
e 307 928 11
e 899 928 15
e 245 928 16
e 54 928 -6
e 513 928 -7
e 839 928 19
e 371 928 9
e 470 928 6
e 395 928 0
e 330 928 7
e 259 928 20
e 322 928 3
e 159 928 13
e 461 928 8
e 773 928 13
e 477 928 1
e 719 928 11
e 505 928 -10
e 735 928 11
e 819 928 -7
e 242 928 20
e 602 928 13
e 632 928 8
e 880 928 -2
e 932 928 10
e 350 928 12
e 191 928 0
e 487 928 -2
e 449 928 -5
e 475 928 -9
e 34 928 17
e 397 928 -3
e 750 928 -10
e 390 928 1
e 280 928 -8
e 891 928 -1
e 528 928 -4
e 893 928 -2
e 151 928 12
e 368 928 10
e 979 928 4
e 702 928 15
e 670 928 2
e 77 928 -7
e 292 928 9
e 174 928 1
e 173 928 20
e 958 929 5
e 1006 929 17
e 438 929 16
e 271 929 19
e 885 929 15
e 572 929 5
e 79 929 4
e 784 929 15
e 834 929 -5
e 534 929 19
e 985 929 13
e 209 929 20
e 591 929 4
e 256 929 9
e 760 929 0
e 799 929 18
e 221 929 11
e 561 929 12
e 934 929 -4
e 189 929 8
e 190 929 13
e 791 929 -1
e 945 929 11
e 736 929 17
e 473 929 5
e 976 929 15
e 313 929 0
e 435 929 17
e 681 929 16
e 946 929 3
e 820 929 1
e 212 929 9
e 190 929 19
e 453 929 18
e 489 929 11
e 981 929 14
e 314 929 8
e 323 929 -7
e 888 929 7
e 700 929 3
e 341 929 11
e 543 929 -1
e 81 929 19
e 643 929 20
e 730 929 19
e 379 929 8
e 952 929 -2
e 409 929 1
e 168 929 4
e 560 929 10
e 71 929 -1
e 94 929 -3
e 818 929 14
e 330 929 7
e 108 929 18
e 427 929 -5
e 256 929 10
e 650 929 6
e 743 929 1
e 840 929 -4
e 811 929 3
e 226 929 -8
e 845 929 -2
e 628 929 6
e 485 929 20
e 764 929 -9
e 648 929 15
e 97 929 -10
e 238 929 -1
e 948 929 20
e 852 929 9
e 693 929 -8
e 32 929 20
e 665 929 3
e 708 929 12
e 10 929 14
e 996 929 8
e 112 929 9
e 187 929 13
e 111 929 13
e 443 929 13
e 944 929 17
e 115 929 1
e 485 929 3
e 182 929 12
e 263 929 5
e 250 929 4
e 226 929 5
e 390 930 17
e 230 930 -9
e 903 930 4
e 559 930 0
e 385 930 -9
e 649 930 -2
e 170 930 14
e 1013 930 -4
e 812 930 19
e 777 930 12
e 121 930 -6
e 489 930 -9
e 991 930 13
e 882 930 4
e 348 930 4
e 696 930 -6
e 179 930 16
e 691 930 10
e 703 930 -7
e 565 930 13
e 264 930 -7
e 31 930 17
e 916 930 9
e 981 930 19
e 256 930 12
e 495 930 -3
e 207 930 6
e 306 930 20
e 1 930 3
e 958 930 20
e 999 930 2
e 136 930 -4
e 823 930 14
e 267 930 20
e 348 930 12
e 827 930 15
e 15 930 9
e 955 930 4
e 811 930 3
e 79 930 -10
e 701 930 2
e 660 930 13
e 859 930 -9
e 751 930 20
e 184 930 -4
e 963 930 4
e 629 930 -3
e 231 930 -5
e 825 930 -6
e 855 930 -9
e 515 930 -2
e 297 930 15
e 447 930 10
e 451 930 8
e 792 930 -9
e 588 930 0
e 142 930 -8
e 608 930 12
e 200 930 7
e 264 930 16
e 811 930 0
e 489 930 -3
e 683 930 -4
e 699 930 -8
e 737 930 12
e 253 930 7
e 862 930 10
e 878 931 1
e 266 931 -10
e 237 931 20
e 834 931 8
e 197 931 7
e 362 931 10
e 359 931 5
e 804 931 17
e 551 931 -8
e 508 931 -5
e 413 931 14
e 751 931 -6
e 843 931 10
e 302 931 10
e 129 931 -10
e 543 931 6
e 126 931 7
e 677 931 14
e 984 931 4
e 417 931 -1
e 798 931 -10
e 953 931 4
e 187 931 0
e 88 931 -9
e 541 931 -2
e 1013 931 3
e 23 931 8
e 921 931 -10
e 644 931 6
e 411 931 2
e 814 931 -6
e 942 931 5
e 1006 931 -9
e 543 931 17
e 20 931 15
e 87 931 2
e 264 931 2
e 679 931 2
e 562 931 19
e 325 931 -6
e 24 931 16
e 145 931 14
e 710 931 5
e 669 931 -3
e 883 931 14
e 493 931 5
e 353 931 19
e 379 931 4
e 565 932 11
e 584 932 6
e 835 932 13
e 882 932 18
e 937 932 20
e 310 932 -6
e 85 932 -3
e 805 932 -3
e 373 932 -4
e 1003 932 1
e 325 932 2
e 713 932 -6
e 293 932 -3
e 326 932 5
e 239 932 17
e 289 932 0
e 135 932 4
e 649 932 -1
e 948 932 6
e 656 932 2
e 46 932 0
e 478 932 15
e 504 932 7
e 930 932 -6
e 495 932 -1
e 207 932 -4
e 676 932 -2
e 900 932 9
e 871 932 -10
e 715 932 19
e 420 932 2
e 647 932 19
e 115 932 19
e 936 932 20
e 618 932 -8
e 161 932 -6
e 437 932 15
e 540 932 18
e 617 932 5
e 1004 932 4
e 790 932 -5
e 579 932 11
e 31 933 4
e 338 933 -6
e 396 933 4
e 757 933 0
e 161 933 -5
e 778 933 20
e 340 933 20
e 458 933 8
e 824 933 16
e 518 933 5
e 836 933 -10
e 267 933 11
e 726 933 -8
e 456 933 -9
e 1015 933 6
e 819 933 19
e 737 933 -9
e 488 933 18
e 191 933 4
e 275 933 15
e 947 933 -2
e 657 933 -7
e 29 933 -1
e 594 933 7
e 795 933 19
e 258 933 16
e 588 933 8
e 488 933 -9
e 218 933 20
e 14 933 6
e 439 933 17
e 674 933 11
e 806 933 3
e 156 933 14
e 894 933 5
e 929 933 7
e 810 933 16
e 551 933 6
e 1013 933 10
e 219 933 1
e 389 933 20
e 831 933 -6
e 804 933 4
e 920 933 20
e 711 933 4
e 519 933 19
e 328 933 1
e 758 933 12
e 1015 933 5
e 181 933 10
e 849 933 2
e 101 933 20
e 783 933 -10
e 534 933 17
e 867 933 14
e 44 933 16
e 894 933 8
e 519 933 -7
e 341 933 6
e 483 933 18
e 677 933 15
e 508 933 -2
e 820 933 -4
e 246 933 -1
e 91 933 5
e 381 933 19
e 449 933 17
e 297 933 6
e 873 933 -6
e 676 933 4
e 239 933 -5
e 782 933 14
e 526 933 8
e 672 933 19
e 102 933 -3
e 144 933 1
e 636 933 8
e 565 933 19
e 3 933 -6
e 364 933 14
e 858 933 19
e 570 933 12
e 85 933 0
e 947 933 9
e 64 933 20
e 26 933 19
e 801 933 -9
e 73 933 -8
e 574 933 -7
e 217 934 6
e 438 934 -10
e 219 934 -2
e 34 934 11
e 229 934 1
e 419 934 20
e 452 934 15
e 137 934 14
e 104 934 3
e 618 934 -10
e 315 934 3
e 534 934 9
e 434 934 -7
e 461 934 16
e 33 934 -9
e 432 934 20
e 841 935 14
e 564 935 7
e 567 935 -6
e 147 935 -10
e 102 935 19
e 214 935 18
e 330 935 6
e 182 935 -4
e 10 935 19
e 315 935 9
e 903 935 19
e 733 935 2
e 921 935 0
e 234 935 -5
e 923 935 12
e 39 935 -9
e 555 935 10
e 186 935 1
e 555 935 2
e 839 935 -9
e 267 935 2
e 346 935 2
e 587 935 -8
e 261 935 8
e 59 935 16
e 970 935 7
e 518 935 17
e 186 935 7
e 750 935 -7
e 479 935 14
e 729 935 7
e 216 935 1
e 13 935 -4
e 707 935 13
e 568 935 -6
e 864 935 11
e 691 935 0
e 882 935 2
e 519 935 17
e 617 935 12
e 689 935 1
e 831 935 -2
e 290 935 -8
e 160 935 18
e 266 935 -2
e 77 935 5
e 982 935 -3
e 450 935 9
e 119 935 17
e 23 935 1
e 102 935 -2
e 804 935 -8
e 485 935 4
e 1000 935 2
e 903 935 15
e 44 935 -3
e 242 935 13
e 355 935 0
e 228 935 11
e 725 935 19
e 116 935 20
e 764 935 -5
e 923 935 3
e 46 935 0
e 754 935 20
e 125 935 14
e 701 935 -7
e 220 935 19
e 985 936 -4
e 394 936 0
e 398 936 19
e 264 936 16
e 800 936 -2
e 935 936 6
e 10 936 -8
e 214 936 -9
e 85 936 19
e 774 936 -8
e 356 937 2
e 773 937 4
e 958 937 10
e 838 937 -7
e 719 937 2
e 775 937 3
e 778 937 11
e 1008 937 -5
e 490 937 9
e 763 937 8
e 216 937 -3
e 631 937 15
e 846 937 -1
e 339 937 7
e 61 937 18
e 921 937 12
e 684 937 -2
e 57 937 -6
e 418 937 13
e 8 937 -7
e 839 937 -2
e 520 937 12
e 838 937 -9
e 234 937 15
e 117 937 5
e 465 937 10
e 440 937 5
e 89 937 20
e 547 937 -8
e 984 937 10
e 94 937 -9
e 484 937 -1
e 334 937 20
e 533 937 8
e 497 937 14
e 779 937 -4
e 377 938 14
e 415 938 -9
e 679 938 1
e 460 938 -4
e 848 938 8
e 82 938 14
e 107 938 -4
e 272 938 -4
e 256 938 -7
e 86 938 -9
e 498 938 5
e 340 938 -4
e 29 938 -9
e 210 938 12
e 160 938 16
e 34 938 0
e 892 938 -6
e 83 938 3
e 95 938 -6
e 424 938 -9
e 442 938 19
e 840 938 -6
e 537 938 19
e 823 938 -8
e 948 938 16
e 645 938 5
e 577 938 7
e 454 938 1
e 781 938 13
e 450 938 -4
e 843 938 3
e 109 938 0
e 172 938 13
e 537 938 5
e 48 938 7
e 746 938 -8
e 827 938 18
e 138 938 6
e 747 938 -3
e 31 938 13
e 425 938 -10
e 122 938 -3
e 766 938 7
e 145 938 17
e 424 938 18
e 560 938 19
e 1006 938 6
e 235 938 1
e 560 938 1
e 343 938 11
e 962 938 13
e 122 938 19
e 507 938 9
e 895 938 15
e 392 938 14
e 942 938 -4
e 518 938 5
e 668 938 7
e 977 938 -6
e 671 938 5
e 22 938 -2
e 901 938 -7
e 816 938 16
e 902 938 -8
e 305 938 20
e 118 938 -5
e 190 938 13
e 320 938 3
e 33 938 9
e 911 938 5
e 153 938 -4
e 462 938 12
e 1012 938 7
e 339 938 8
e 96 938 13
e 913 939 13
e 212 939 13
e 22 939 5
e 776 939 4
e 676 939 7
e 926 939 14
e 835 939 -3
e 129 939 8
e 486 939 -5
e 211 939 9
e 842 939 19
e 235 939 -2
e 289 939 -2
e 922 939 6
e 368 939 4
e 179 939 13
e 310 939 5
e 202 939 16
e 590 939 -5
e 571 939 7
e 150 939 0
e 879 939 15
e 593 939 0
e 602 939 12
e 833 940 13
e 160 940 -9
e 693 940 17
e 350 940 -1
e 290 940 10
e 544 940 15
e 857 940 7
e 357 940 -9
e 991 940 -2
e 768 940 0
e 835 940 7
e 782 940 4
e 686 940 18
e 299 940 -8
e 188 940 6
e 998 940 10
e 138 940 -9
e 114 940 -7
e 785 940 16
e 670 940 8
e 690 940 -2
e 262 940 -1
e 273 940 -2
e 395 940 -8
e 807 940 -7
e 514 940 9
e 915 940 11
e 297 940 -9
e 817 940 6
e 991 940 9
e 1006 940 -3
e 660 940 5
e 475 940 18
e 766 940 18
e 640 940 1
e 525 940 -3
e 626 940 10
e 546 940 20
e 296 940 -10
e 380 940 -8
e 778 940 7
e 242 940 15
e 459 940 -10
e 744 940 12
e 761 940 11
e 636 940 -5
e 210 940 5
e 768 940 -4
e 346 940 19
e 941 940 -3
e 938 940 4
e 917 940 -2
e 907 940 -7
e 474 940 -6
e 835 940 16
e 542 940 10
e 943 940 16
e 314 940 -9
e 658 940 10
e 563 940 -10
e 813 940 16
e 874 940 16
e 272 940 14
e 18 940 6
e 303 940 -8
e 487 940 3
e 312 940 1
e 797 940 12
e 292 940 1
e 151 940 11
e 781 940 8
e 472 941 18
e 987 941 15
e 591 941 3
e 503 941 -2
e 875 941 -5
e 998 941 5
e 398 941 15
e 720 941 -6
e 455 941 -3
e 977 941 4
e 690 941 -7
e 1020 941 -4
e 153 941 8
e 416 941 13
e 223 941 -7
e 713 941 10
e 159 941 15
e 266 941 2
e 656 941 -10
e 634 941 0
e 44 941 9
e 1021 941 1
e 529 941 0
e 197 941 -7
e 935 941 13
e 792 941 -4
e 515 941 -1
